MetricName,Eigengene1,Eigengene2,Eigengene3
Phase,0.5594994,0.48264587,0.47320378
Error,-0.14036201,0.16963252,-0.53443563
Magnitude,-0.0003129861,0.14292042,-0.20617422
ProjectionX,-0.8805285,0.038730666,-0.47240826
ProjectionY,-0.649241,-0.44014192,-0.6202912
Circular_Error,-0.09433393,0.1059038,-0.31728953
Modified_Error,-0.2606332,0.26184753,-0.30163237
Out_of_Plane_Reconstruction_Error,-0.29364714,0.33768994,-0.10484765
Input_Magnitude,-0.48006493,0.30859128,-0.03266906
Model_Output_Magnitude,-0.69611955,0.20778875,0.11006306
Modified_Model_Output_Magnitude,-0.39424154,0.30199176,-0.015577708
